Unnamed: 0,id,locality,postal_code,region,province,type_of_property,subtype_of_property,price,number_of_bedrooms,surface,kitchen_type,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_surface,garden,garden_surface,land_surface,number_of_facades,swimming_pool,state_of_the_building
40558,10086453,Heule,8501,Flanders,West Flanders,0,DUPLEX,265000.0,3.0,155.0,INSTALLED,INSTALLED,0.0,0,1.0,8.0,,,,4.0,0.0,1
30385,10135841,Walem,2800,Flanders,Antwerp,1,HOUSE,295000.0,4.0,117.0,NO_INFO,-1,,0,,,1.0,,225.0,,0.0,1
6752,10000847,Bruxelles,1000,Brussels,Brussels,0,FLAT_STUDIO,185000.0,0.0,37.0,INSTALLED,INSTALLED,,0,1.0,2.0,,,,2.0,0.0,1
24025,10054326,Loupoigne,1471,Wallonie,Walloon Brabant,1,HOUSE,195000.0,3.0,126.0,NOT_INSTALLED,NOT_INSTALLED,0.0,0,,,1.0,,350.0,,,0
10617,10146739,Ixelles,1050,Brussels,Brussels,1,MANSION,720000.0,4.0,280.0,NO_INFO,-1,,0,1.0,20.0,1.0,30.0,130.0,2.0,,0
36635,9999015,Izegem,8870,Flanders,West Flanders,0,APARTMENT,245000.0,2.0,99.0,NO_INFO,-1,0.0,0,1.0,,,,,,0.0,1
26830,9987906,Berchem,2600,Flanders,Antwerp,1,HOUSE,395000.0,4.0,142.0,USA_INSTALLED,USA_INSTALLED,,0,1.0,,,,73.0,2.0,,1
37363,10069280,Oostende,8400,Flanders,West Flanders,0,APARTMENT,228000.0,2.0,85.0,NO_INFO,-1,0.0,0,1.0,,,,,2.0,0.0,1
30608,10079119,Antwerp,2000,Flanders,Antwerp,0,APARTMENT,349000.0,3.0,107.0,INSTALLED,INSTALLED,0.0,0,,,,,,3.0,,1
52554,10145347,Leuven Wilsele,3012,Flanders,Flemish Brabant,1,HOUSE,379000.0,3.0,140.0,NO_INFO,-1,0.0,0,1.0,,,,170.0,3.0,,1
20315,9483877,Seraing,4100,Wallonie,Liège,0,APARTMENT,353500.0,3.0,138.0,INSTALLED,INSTALLED,0.0,0,1.0,34.0,,,,,,1
7738,9251406,Brussels City,1120,Brussels,Brussels,0,APARTMENT,244900.0,2.0,90.0,INSTALLED,INSTALLED,0.0,0,1.0,4.0,,,,,,1
21099,9510131,Hannut,4280,Wallonie,Liège,0,APARTMENT,266000.0,2.0,95.0,INSTALLED,INSTALLED,0.0,0,1.0,,,,,,,1
17078,9860172,BUZET,6230,Wallonie,Hainaut,1,HOUSE,270000.0,2.0,130.0,NO_INFO,-1,0.0,0,,,1.0,,681.0,,,1
14891,10024945,Charleroi,6040,Wallonie,Hainaut,1,HOUSE,170000.0,4.0,150.0,USA_HYPER_EQUIPPED,1,0.0,0,1.0,28.0,1.0,69.0,269.0,2.0,0.0,1
10741,9224466,Woluwe-Saint-Pierre,1150,Brussels,Brussels,1,VILLA,1450000.0,6.0,460.0,HYPER_EQUIPPED,1,,0,1.0,,,,792.0,4.0,,1
